00_1_0, 1 0 0 0 0 1 0 0 0 0 1 0 1 1 2 6 7 6 4 1 0 1 0 0 0 0 0 0 0 0 0 
00_1_1, 0 0 0 1 0 0 1 0 0 1 0 0 1 2 4 5 5 5 5 2 0 0 0 0 0 0 0 0 0 0 0 
01_0_0, 0 0 0 0 0 0 0 0 0 0 1 0 1 3 12 4 10 1 0 0 0 0 0 0 0 0 0 0 0 0 0 
01_0_1, 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 18 5 2 2 1 0 0 0 0 0 0 0 0 0 0 0 
02_1_0, 1 0 0 1 0 0 0 0 1 0 0 0 0 1 5 5 7 6 3 0 1 1 0 0 0 0 0 0 0 0 0 
02_1_1, 0 0 0 1 0 0 0 1 0 1 1 1 0 1 3 7 6 6 2 1 1 0 0 0 0 0 0 0 0 0 0 
03_0_0, 0 0 0 0 0 0 0 0 0 0 0 0 2 0 10 8 6 4 1 1 0 0 0 0 0 0 0 0 0 0 0 
03_0_1, 0 0 0 0 0 0 0 0 0 0 0 0 1 3 11 4 9 2 0 2 0 0 0 0 0 0 0 0 0 0 0 
04_0_0, 0 0 0 0 0 0 0 0 0 2 0 0 2 6 4 4 3 3 6 2 0 0 0 0 0 0 0 0 0 0 0 
06_0_0, 0 0 0 0 0 0 0 0 0 0 0 0 2 3 3 8 7 5 3 1 0 0 0 0 0 0 0 0 0 0 0 
06_0_1, 0 0 0 0 0 0 0 0 3 0 0 1 2 5 4 2 2 6 5 0 1 0 1 0 0 0 0 0 0 0 0 
07_0_0, 0 0 0 0 0 0 0 0 0 0 0 1 1 2 10 4 6 6 1 0 1 0 0 0 0 0 0 0 0 0 0 
07_0_1, 0 0 0 0 0 0 0 0 0 0 0 0 0 4 5 9 7 4 2 1 0 0 0 0 0 0 0 0 0 0 0 
07_1_0, 0 0 1 0 1 0 0 0 0 0 0 0 2 1 5 4 4 5 5 3 0 1 0 0 0 0 0 0 0 0 0 
07_1_1, 0 0 1 0 0 0 1 1 0 0 0 1 1 4 1 7 5 4 4 2 0 0 0 0 0 0 0 0 0 0 0 
09_0_0, 0 0 0 0 0 0 0 0 0 0 0 0 2 1 3 15 4 4 2 1 0 0 0 0 0 0 0 0 0 0 0 
09_0_1, 0 0 0 0 0 0 0 0 0 0 0 0 0 6 6 12 7 0 1 0 0 0 0 0 0 0 0 0 0 0 0 
10_1_1, 0 1 0 0 1 1 0 0 0 0 0 0 1 3 4 2 6 5 5 2 1 0 0 0 0 0 0 0 0 0 0 
11_0_0, 0 0 0 0 0 0 0 0 0 0 0 1 1 3 6 4 11 6 0 0 0 0 0 0 0 0 0 0 0 0 0 
11_0_1, 0 0 0 0 0 0 0 0 0 0 0 1 2 4 4 6 10 1 1 2 1 0 0 0 0 0 0 0 0 0 0 
12_1_0, 0 1 0 0 0 1 0 0 0 0 0 1 1 0 5 7 4 4 5 3 0 0 0 0 0 0 0 0 0 0 0 
12_1_1, 0 0 0 0 1 0 0 1 0 1 0 0 2 2 3 8 7 3 3 1 0 0 0 0 0 0 0 0 0 0 0 
14_0_0, 0 0 0 0 0 0 0 0 0 0 0 0 3 2 4 7 7 7 2 0 0 0 0 0 0 0 0 0 0 0 0 
14_0_1, 0 0 0 0 0 0 0 0 0 0 0 0 0 4 9 10 6 0 2 0 1 0 0 0 0 0 0 0 0 0 0 
14_1_0, 1 0 0 0 1 0 0 0 0 0 1 0 0 1 3 7 5 7 3 1 1 1 0 0 0 0 0 0 0 0 0 
14_1_1, 0 0 0 1 0 0 2 0 0 0 0 1 0 3 1 4 6 3 5 4 1 1 0 0 0 0 0 0 0 0 0 
15_1_1, 1 0 0 0 0 1 0 0 2 0 2 1 1 0 9 1 2 5 1 1 3 2 1 0 0 0 0 0 0 0 0 
16_1_0, 0 1 1 0 0 0 0 0 0 0 1 0 2 3 4 6 2 7 3 1 1 0 0 0 0 0 0 0 0 0 0 
16_1_1, 0 0 1 0 0 1 1 0 0 0 0 0 2 1 4 3 5 3 3 4 3 0 1 0 0 0 0 0 0 0 0 
17_1_0, 2 0 0 0 0 0 0 0 0 0 1 0 1 2 3 5 1 7 3 1 1 3 1 1 0 0 0 0 0 0 0 
17_1_1, 0 0 0 1 0 1 1 0 0 0 1 1 2 1 4 2 3 5 1 3 2 2 1 0 1 0 0 0 0 0 0 
19_0_0, 0 0 0 0 0 0 0 0 0 0 0 0 0 3 5 9 11 3 1 0 0 0 0 0 0 0 0 0 0 0 0 
19_0_1, 0 0 0 0 0 0 0 0 0 0 0 0 1 3 11 7 5 2 1 2 0 0 0 0 0 0 0 0 0 0 0 
20_1_0, 0 0 1 0 1 0 0 0 0 0 0 1 1 1 4 4 5 7 3 4 0 0 0 0 0 0 0 0 0 0 0 
20_1_1, 0 0 0 1 0 0 1 0 0 1 0 0 0 1 3 8 10 4 1 2 0 0 0 0 0 0 0 0 0 0 0 
21_0_0, 0 0 0 0 0 0 0 0 0 0 1 1 1 1 9 7 7 4 1 0 0 0 0 0 0 0 0 0 0 0 0 
21_0_1, 0 0 0 0 0 0 0 0 0 0 0 0 0 7 7 9 4 4 1 0 0 0 0 0 0 0 0 0 0 0 0 
