0.682499 0.613178 0.397753
-0.893173 0.447716 -0.042326
0.709406 -0.409576 0.573576
-0.458695 -0.835997 0.301178
-0.816076 0.347718 -0.461641
-0.582563 0.694272 -0.422618
-0.784886 -0.453154 -0.422618
0.207125 0.030080 0.977852
-0.309976 -0.851651 -0.422618
-0.827340 0.435027 0.355330
0.000000 0.906308 -0.422618
0.000000 -0.838671 0.544639
0.827340 0.435027 0.355330
0.309975 -0.851651 -0.422618
-0.207125 0.030080 0.977852
0.784885 -0.453154 -0.422618
0.582563 0.694272 -0.422618
0.816076 0.347718 -0.461641
0.458695 -0.835997 0.301178
-0.709406 -0.409576 0.573577
0.893173 0.447716 -0.042326
-0.682499 0.613178 0.397753
