2 1 0 31 0.052094 8.502688 1.648999 0.000004 0.000034 14.058794
7 0 1 30 0.059911 10.671528 1.390312 0.000001 0.000006 11.804115
7 1 0 31 0.043263 10.922715 1.700992 0.000002 0.000010 15.411629
7 1 1 32 -0.441381 10.305990 0.792689 0.000001 0.000006 7.937670
9 0 1 30 0.063459 6.734028 1.510598 0.000005 0.000020 9.897020
9 1 0 31 0.032180 3.768817 1.308416 0.000006 0.000027 11.376812
9 1 1 32 -0.444489 5.872396 1.000876 0.000006 0.000034 8.381031
12 0 1 30 0.054618 6.865972 1.517178 0.000002 0.000013 11.975394
14 0 1 30 0.042790 11.231944 1.436644 0.000001 0.000006 10.265005
14 1 0 31 0.021121 11.851478 1.567480 0.000001 0.000015 12.940440
14 1 1 32 -0.432146 11.131510 0.825037 0.000002 0.000008 9.256609
18 0 1 30 0.029825 6.295833 1.482086 0.000002 0.000008 7.737770
18 1 0 31 0.020052 8.836694 1.459900 0.000002 0.000008 16.695396
19 0 1 30 0.032352 8.913889 1.488391 0.000002 0.000006 10.318123
19 1 0 31 0.026640 11.286290 1.478130 0.000003 0.000020 10.737495
21 0 1 30 0.029001 7.416667 1.453025 0.000003 0.000011 12.672846
