-0.026769 0.070312 0.086710
-0.040382 0.063395 0.087282
-0.028940 0.056440 0.088339
-0.041441 0.050931 0.088416
-0.039378 0.046773 0.063099
-0.026364 0.068074 0.059262
-0.032487 0.020768 0.058513
-0.025132 0.025347 0.068624
-0.008474 -0.003085 0.074398
-0.012697 -0.000039 0.085800
0.000096 0.077793 0.060535
-0.000110 -0.006894 0.088114
0.012829 0.000005 0.085768
0.008312 -0.003081 0.074367
0.025292 0.025325 0.068651
0.032550 0.020836 0.058539
0.026275 0.068182 0.059136
0.039373 0.046807 0.063117
0.041290 0.050926 0.088467
0.029076 0.056476 0.088285
0.040262 0.063294 0.087263
0.026809 0.070319 0.086666
